claim_id,entity_id,relationship_type
GEO-001,ENT-0001,mentioned_in
GEO-002,ENT-0001,mentioned_in
GEO-003,ENT-0001,mentioned_in
MIN-001,ENT-0001,mentioned_in
MIN-002,ENT-0005,mentioned_in
MIN-002,ENT-0001,mentioned_in
MIN-003,ENT-0001,mentioned_in
POL-001,ENT-0008,mentioned_in
POL-002,ENT-0008,mentioned_in
POL-003,ENT-0008,mentioned_in
POL-003,ENT-0011,mentioned_in
LAND-001,ENT-0008,mentioned_in
LAND-002,ENT-0008,mentioned_in
LAND-002,ENT-0014,mentioned_in
LAND-002,ENT-0001,mentioned_in
LAND-003,ENT-0008,mentioned_in
LAND-003,ENT-0001,mentioned_in
IND-001,ENT-0018,mentioned_in
IND-001,ENT-0001,mentioned_in
IND-001,ENT-0020,mentioned_in
IND-002,ENT-0021,mentioned_in
DNA-001,ENT-0014,mentioned_in
DNA-001,ENT-0020,mentioned_in
GEN-001,ENT-0008,mentioned_in
GEN-001,ENT-0018,mentioned_in
GEN-001,ENT-0026,mentioned_in
GEN-001,ENT-0001,mentioned_in
GEN-002,ENT-0008,mentioned_in
GEN-002,ENT-0005,mentioned_in
GEN-002,ENT-0001,mentioned_in
WF-001,ENT-0031,mentioned_in
WF-002,ENT-0031,mentioned_in
WF-003,ENT-0031,mentioned_in
WF-004,ENT-0031,mentioned_in
WF-005,ENT-0031,mentioned_in
WF-006,ENT-0018,mentioned_in
WF-006,ENT-0031,mentioned_in
LEGAL-001,ENT-0021,mentioned_in
ARCH-001,ENT-0018,mentioned_in
ARCH-002,ENT-0018,mentioned_in
ARCH-003,ENT-0008,mentioned_in
ARCH-004,ENT-0008,mentioned_in
INST-001,ENT-0021,mentioned_in
INST-002,ENT-0021,mentioned_in
