evidence_id,claim_id,link_weight,excerpt_text,page_number
EV-0001,GEO-001,1.0,,
EV-0002,GEO-002,1.0,,
EV-0003,GEO-003,1.0,,
EV-0004,MIN-001,1.0,,
EV-0005,MIN-002,1.0,,
EV-0006,MIN-003,1.0,,
EV-0007,POL-001,1.0,,
EV-0008,POL-002,1.0,,
EV-0009,POL-003,1.0,,
EV-0010,LAND-001,1.0,,
EV-0011,LAND-002,0.5,,
EV-0012,LAND-003,0.5,,
EV-0013,IND-001,0.5,,
EV-0014,IND-002,1.0,,
EV-0015,IND-003,1.0,,
EV-0016,DNA-001,1.0,,
EV-0017,DNA-002,1.0,,
EV-0018,GEN-001,0.5,,
EV-0019,GEN-002,0.5,,
EV-0020,WF-001,1.0,,
EV-0021,WF-002,1.0,,
EV-0022,WF-003,1.0,,
EV-0023,WF-004,1.0,,
EV-0024,WF-005,1.0,,
EV-0025,WF-006,0.5,,
EV-0026,WF-007,0.0,,
EV-0027,WF-008,0.0,,
EV-0028,LEGAL-001,1.0,,
EV-0029,ARCH-001,0.5,,
EV-0030,ARCH-002,0.5,,
EV-0031,ARCH-003,0.0,,
EV-0032,ARCH-004,0.5,,
EV-0033,INST-001,1.0,,
EV-0034,INST-002,1.0,,
