claim_id,entity_id,relationship_type
GEO-001,ENT-0001,mentioned_in
GEO-002,ENT-0001,mentioned_in
GEO-003,ENT-0001,mentioned_in
MIN-001,ENT-0001,mentioned_in
MIN-002,ENT-0005,mentioned_in
MIN-002,ENT-0001,mentioned_in
MIN-003,ENT-0001,mentioned_in
POL-001,ENT-0008,mentioned_in
POL-002,ENT-0008,mentioned_in
POL-003,ENT-0008,mentioned_in
POL-003,ENT-0011,mentioned_in
LAND-001,ENT-0008,mentioned_in
LAND-002,ENT-0008,mentioned_in
LAND-002,ENT-0014,mentioned_in
LAND-002,ENT-0001,mentioned_in
LAND-003,ENT-0008,mentioned_in
LAND-003,ENT-0001,mentioned_in
IND-001,ENT-0018,mentioned_in
IND-001,ENT-0001,mentioned_in
IND-001,ENT-0020,mentioned_in
IND-002,ENT-0021,mentioned_in
DNA-001,ENT-0014,mentioned_in
DNA-001,ENT-0020,mentioned_in
GEN-001,ENT-0008,mentioned_in
GEN-001,ENT-0018,mentioned_in
GEN-001,ENT-0026,mentioned_in
GEN-001,ENT-0001,mentioned_in
GEN-002,ENT-0008,mentioned_in
GEN-002,ENT-0005,mentioned_in
GEN-002,ENT-0001,mentioned_in
WF-001,ENT-0031,mentioned_in
WF-002,ENT-0031,mentioned_in
WF-003,ENT-0031,mentioned_in
WF-004,ENT-0031,mentioned_in
WF-005,ENT-0031,mentioned_in
WF-006,ENT-0018,mentioned_in
WF-006,ENT-0031,mentioned_in
LEGAL-001,ENT-0021,mentioned_in
ARCH-001,ENT-0018,mentioned_in
ARCH-002,ENT-0018,mentioned_in
ARCH-003,ENT-0008,mentioned_in
ARCH-004,ENT-0008,mentioned_in
INST-001,ENT-0021,mentioned_in
INST-002,ENT-0021,mentioned_in
LAND-001,ENT-0040,co-owner_expropriated
LAND-001,ENT-0041,co-owner_expropriated
LAND-001,ENT-0053,expropriating_agency
POL-001,ENT-0042,patron
POL-001,ENT-0057,purging_authority
POL-002,ENT-0054,co-desaforado
POL-002,ENT-0055,co-desaforado
POL-005,ENT-0044,honorary_president
POL-005,ENT-0040,presidente_efectivo
IND-002,ENT-0043,deportation_architect
TRADE-001,ENT-0008,operator
TRADE-001,ENT-0026,oral_history_source
TRADE-003,ENT-0008,principal
TRADE-003,ENT-0018,proxy_shield
TRADE-003,ENT-0031,financial_channel
WF-009,ENT-0050,archive_custodian
WF-010,ENT-0051,archive_custodian
WF-011,ENT-0058,author
WF-011,ENT-0056,named_entity
FAM-001,ENT-0045,living_oral_source
FAM-001,ENT-0046,sibling_of_nela
FAM-001,ENT-0047,sibling_of_nela
FAM-001,ENT-0048,sibling_of_nela
ARCH-005,ENT-0052,institutional_contact
GEN-003,ENT-0049,patriarch
SMOKE-001,ENT-0008,subject
SMOKE-001,ENT-0018,subject
SMOKE-001,ENT-0031,channel
