evidence_id,claim_id,link_weight,excerpt_text,page_number
EV-0001,GEO-001,1.0,,
EV-0002,GEO-002,1.0,,
EV-0003,GEO-003,1.0,,
EV-0004,MIN-001,1.0,,
EV-0005,MIN-002,1.0,,
EV-0006,MIN-003,1.0,,
EV-0007,POL-001,1.0,,
EV-0008,POL-002,1.0,,
EV-0009,POL-003,1.0,,
EV-0010,LAND-001,1.0,,
EV-0011,LAND-002,0.5,,
EV-0012,LAND-003,0.5,,
EV-0013,IND-001,0.5,,
EV-0014,IND-002,1.0,,
EV-0015,IND-003,1.0,,
EV-0016,DNA-001,1.0,,
EV-0017,DNA-002,1.0,,
EV-0018,GEN-001,0.5,,
EV-0019,GEN-002,0.5,,
EV-0020,WF-001,1.0,,
EV-0021,WF-002,1.0,,
EV-0022,WF-003,1.0,,
EV-0023,WF-004,1.0,,
EV-0024,WF-005,1.0,,
EV-0025,WF-006,0.5,,
EV-0026,WF-007,0.0,,
EV-0027,WF-008,0.0,,
EV-0028,LEGAL-001,1.0,,
EV-0029,ARCH-001,0.5,,
EV-0030,ARCH-002,0.5,,
EV-0031,ARCH-003,0.0,,
EV-0032,ARCH-004,0.5,,
EV-0033,INST-001,1.0,,
EV-0034,INST-002,1.0,,
EV-0040,TRADE-001,9,20–25 year gap between Nela narrative (died ~1915) and INEHRM record (senator Dec 14 1935),
EV-0041,TRADE-003,7,Liquidation logic: silver price collapse + desafuero + Bacobampo → land shield no longer worth maintaining,
EV-0042,TRADE-004,10,Concubine (barragana) = zero community-property rights under Mexican Civil Code,
EV-0043,TRADE-005,10,WF Express common carrier; no third-party consent required; BSA not enacted until 1970,
EV-0044,WF-009,10,"OAC finding aid: Box 34 Series 2 ""Investments in Mexico"" 1883–1906",
EV-0045,WF-010,6,1999 report: Villa seized 122 silver bars Apr 1913; Bancroft documents tie WF Mex subsidiary to disposition,
EV-0046,WF-011,10,"Turner Barbarous Mexico: 8,000 Yaqui slaves Yucatán; Corral orchestrated Yaqui war; American Cordage Trust",pp.13–62
EV-0047,FAM-001,8,"Gabriel identifies Carmelita Terango (Leonor daughter), Leonor, Rosa, Francisco Jr. as documented siblings",
EV-0048,ARCH-005,10,"GOB.mx: Dra. María Inés Aragón Salcido, Directora General, tel. (662) 217-0314",
EV-0049,GEN-003,8,Don José Santos Terminel Félix at Los Cedros 1860s; María Guadalupe Terminel born Álamos 1845,
EV-0050,SMOKE-001,7,Doc A (RPP Libro 92 Folio 37) + Doc B (Notarías poder) + Doc C (Huntington Box 34 / Bancroft / NARA),
EV-0051,WF-012,9,NYT: Wells Fargo sold Mexico/Cuba banking interests to American Express Co. in 1920,
