,,,,,,,,,
,Archive Targets — Contact Information & Request Status,,,,,,,,
,Archive,Location,Access Mode,Contact / Address,Email / Phone,Related Claims,Request Status,Notes,
,FamilySearch (LDS),International — online,Free online browse,familysearch.org — Catalog search 704679 / 704681,familysearch.org,"IND-001, GEN-001, GEN-003, GEN-004",NOT SUBMITTED,Browse catalog 704679 (civil) & 704681 (parish) today — zero cost,
,AHES — Archivo Histórico del Estado de Sonora,"Hermosillo, Sonora MX",Formal written request,"Comonfort y Rosales s/n, Centro, Hermosillo, Sonora CP 83000",+52 (662) 212-0671,"LAND-004, LAND-005, LEGAL-002, ARCH-001, ARCH-002, IND-003",NOT SUBMITTED,Call first to confirm email submission. Mon–Fri 8AM–3PM. Letter drafted.,
,AGES / RAN — Registro Agrario Nacional,Mexico City (national) + Hermosillo delegation,Formal written request or email,"Carretera Picacho-Ajusco 57, Col. Jardines en la Montaña, Tlalpan, CDMX CP 14210",reporte_rantel@ran.gob.mx,"LAND-001, LAND-003, LAND-009",NOT SUBMITTED — TSK-005,Request expediente 411.123/2174 Bacobampo; also ask for San Javier ejido expediente,
,AGN — Archivo General de la Nación,Mexico City,Online catalog + on-site / staff-mediated,"Av. Ricardo Flores Magón 1, Tlatelolco, CDMX",catalogo.archivos.gob.mx,"POL-001, POL-003, POL-004, IND-001, IND-003, LAND-007",NOT SUBMITTED,"Search Fondo Gobernación for Terminel, Verminel, Sagasta. Also Notarías for IND-003.",
,FAPECFT — Fideicomiso Plutarco Elías Calles y F. Torreblanca,Mexico City,On-site research / staff-mediated,"Lago Zurich 245, Piso 16, Ampliación Granada, CDMX",fapecft.gob.mx,"POL-001, POL-002, POL-003, POL-004, POL-010, TRADE-003",NOT SUBMITTED,Search Terminel AND Verminel in Callista correspondence 1930–1936,
,Wells Fargo Historical Services,"San Francisco, CA USA",Physical mail only,"MAC A0101-017, 420 Montgomery Street, San Francisco CA 94104",No public email — physical mail only,WF-001 through WF-015 (all WF claims),NOT SUBMITTED — TSK-004,Letter already drafted (5 questions). Mail certified mail. Allow 6–12 weeks.,
,UC Berkeley Bancroft Library,"Berkeley, CA USA",Online finding aid + on-site / remote request,"The Bancroft Library, UC Berkeley, Berkeley CA 94720-6000",bancroft.berkeley.edu/reference/,"INST-009, WF-012",NOT SUBMITTED — TSK-003,Silvestre Terrazas papers — 1913 WF correspondence. Request finding aid first.,
,Huntington Library,"San Marino, CA USA",Researcher registration + on-site,"1151 Oxford Road, San Marino CA 91108",huntington.org/research,WF-012,NOT SUBMITTED,Hosmer B. Parsons correspondence — WF Mexico operations. Request finding aid.,
,University of Arizona Special Collections,"Tucson, AZ USA",Online finding aid + on-site,"1510 E. University Blvd., Tucson AZ 85721",speccoll.library.arizona.edu,"IND-002, IND-006",NOT SUBMITTED,Spicer Yaqui papers + borderlands collections for Yaqui deportation documentation,
,ICRESON — Registro Público Sonora,"Hermosillo, Sonora MX",Online + on-site,"Comonfort y Paseo de la Cultura, Centro de Gobierno, Hermosillo",icreson.gob.mx / 662-108-4200,"LAND-004, LAND-005, LAND-006",NOT SUBMITTED,Instituto Catastral y Registral del Estado de Sonora — Registro Público de la Propiedad,
,Hemeroteca Nacional Digital MX (HNDM),Online — digital,Free online search,hndm.unam.mx,hndm.unam.mx,"POL-001, POL-003, POL-004, POL-010",NOT SUBMITTED,Search: 'Terminel' AND Sonora; 'Verminel' AND Sonora; 'San Javier' AND escritura; 'Bacobampo' AND 1938,
,Chronicling America (Library of Congress),Online — digital,Free online search,chroniclingamerica.loc.gov,chroniclingamerica.loc.gov,"POL-001, WF-001, WF-002",NOT SUBMITTED,Search: Francisco Terminel; San Javier Sonora; Wells Fargo Express Mexico,
,Oregon Historical Society,"Portland, OR USA",Online finding aid + on-site,"1200 SW Park Ave, Portland OR 97205",ohs.org/research,WF-013,NOT SUBMITTED,Secondary Wells Fargo Express collection — possible Mexico Division correspondence,
