,,,,,,,,,,,,,,
,TE360 Evidence Dashboard — Terminel-Sagasta Investigation (Pass 3.1),,,,,,,,,,,,,
,"Generated: May 20, 2026  |  75 total claims across 9 Pipes  |  Audit Score: 28/100",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,✅ VERIFIED,,, ORANGE (Leads),,, RED / QUARANTINED,,, TOTAL CLAIMS,,, AUDIT SCORE /100,
,35,,,35,,,5,,,75,,,28,
,,,,,,,,,,,,,,
,ℹ️  Score 28/100 = Primary archival research phase (not yet ready for formal legal proceedings). Gap to 75/100 = one trip to Hermosillo + four letters.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Pipe Code,Pipe Name,Total,Verified,Orange,Red,% Verified,Priority Action,,,,,,
,GEO+MIN,GEO+MIN,6,6,0,0,100%,Complete,,,,,,
,POL,POL,10,5,5,0,50%,FAPECFT + HNDM searches,,,,,,
,LAND,LAND,9,2,7,0,22%,TSK-005 AGES + TSK-006 SHA-256 + AHES LAND-004/005,,,,,,
,IND+DNA,IND+DNA,8,7,1,0,88%,TSK-001/002 FamilySearch 704679/704681,,,,,,
,GEN+FAM,GEN+FAM,7,0,7,0,0%,FamilySearch browse + CA passenger manifests,,,,,,
,WF,WF,15,7,6,2,47%,TSK-004 WF letter + TSK-003 Bancroft Library,,,,,,
,TRADE,TRADE,5,0,5,0,0%,CA vital records + oral history documentation,,,,,,
,LEGAL,LEGAL,6,4,2,0,67%,AHES LAND-005 → Article 2163 analysis,,,,,,
,AUDIT+INST,AUDIT+INST,9,4,2,3,44%,Maintain quarantine — no action on RED claims,,,,,,
