TE360 Master Evidence Matrix v3 — Terminel-Sagasta Investigation — Pass 3.1,,,,,,,,,,,,
Claim ID,Pipe,Claim Text,Date Range,Status,Conf.,Link Type,Burden of Proof,Risk,Contam.,Review Status,Archive Target,Source Ref
── PIPE: GEO+MIN ──,,,,,,,,,,,,
GEO-001,GEO+MIN,"San Javier is an independent municipality in central Sonora, founded 1706 as Real de Minas de San Javier",1706–present,VERIFIED,10,Support,Met — INEGI/institutional,0,0,verified,INEGI,INEGI code 260541
GEO-002,GEO+MIN,"San Javier ~146 km east of Hermosillo; located in Sonora River watershed (Centro Costa, NOT Sahuaripa)",Historical,VERIFIED,10,Support,Met — INEGI,0,0,verified,INEGI,INEGI municipal data
GEO-003,GEO+MIN,"San Javier civil records 1930–1934 split across Hermosillo, Villa Pesqueira, La Colorada — State Law 109 (Dec 22 1934)",1930–1934,VERIFIED,9,Support,Met — AHES/State Law,1,0,verified,AHES,Sonora State Law 109
MIN-001,GEO+MIN,"San Javier silver-gold mining 1706–present; silver 133–1,240 g/ton; gold 0.41–7.07 g/ton (SGM 2006)",1706–present,VERIFIED,10,Support,Met — SGM federal,0,0,verified,SGM,SGM 2006 inventory
MIN-002,GEO+MIN,"Mine Las Goteras (#16 SGM) — active concession Luis Porchas; 6.74 km SE parish church; 3 adits, beneficiation plant",2006,VERIFIED,10,Support,Met — SGM federal,0,0,verified,SGM,SGM 2006 inventory
MIN-003,GEO+MIN,28 of 32 San Javier mines on Ejido San Javier tenure — comprehensive Cárdenas expropriation,2006,VERIFIED,10,Support,Met — SGM federal,0,0,verified,SGM/AGES,SGM 2006 land-tenure
── PIPE: POL ──,,,,,,,,,,,,
POL-001,POL,"Francisco L. Terminel stripped of senatorial immunity (desafuero) December 14, 1935",December 1935,VERIFIED,9,Support,Met — UNAM-IIS,1,0,verified,UNAM-IIS/FAPECFT,ru.iis.sociales.unam.mx
POL-002,POL,"Five desaforados Dec 14 1935: Manuel Riva Palacio, Francisco Terminel, Bernardo Bandala, Eliseo Pérez Gómez, Cristóbal Bon Bustamante",December 1935,VERIFIED,9,Support,Met — UNAM-IIS,1,0,verified,UNAM-IIS,Pass 3 Forensic Update
POL-003,POL,Terminel appears as 'Verminel' in 1935 telegrams — documented single-letter telegraphic error (UNAM-IIS / Uruchurtu biography),December 1935,VERIFIED,9,Support,Met — UNAM-IIS,1,0,verified,UNAM-IIS/FAPECFT/AGN,UNAM Uruchurtu biography
POL-004,POL,"Calles exile group exited Mexico April 9 1936: Calles, Morones, Ortega, Manrique — Terminel likely in this cohort",April 1936,ORANGE,6,Support,FAPECFT correspondence; HNDM; AGN Gobernación,4,0,triaged,FAPECFT/AGN Gobernación,Calles exile documentation
POL-005,POL,"Francisco Terminel as Federal Senator Sonora c.1934 — DOWNGRADED (Diario XXXVI Leg. Sept 6 1934 names Francisco López, not Terminel)",1934,ORANGE,3,Support (partial),Diario Debates XXXVI–XXXVII; Memoria Política de México,7,3,triaged,Memoria Política de México,"Diario de Debates, Cámara de Diputados"
POL-006,POL,Maximato 1928–1936: Calles as Jefe Máximo; desafuero 1935 was Cárdenas's decisive break from Calles machine,1928–1936,VERIFIED,10,Support,Met — standard historiography,0,0,verified,Academic sources/AGN,Maximato historiography
POL-007,POL,"Cárdenas consolidation 1936–1940: oil nationalization, land redistribution, ejido expansion — context for all Terminel losses",1936–1940,VERIFIED,10,Support,Met — standard historiography,0,0,verified,Academic sources,Cárdenas period documentation
POL-008,POL,Terminel's brothers maintained complicit silence about Francisco's fate post-1936 — possible strategic cover narrative,Post-1936,ORANGE,4,Lead,Oral history corroboration; FAPECFT for brothers' names,6,3,triaged,Oral history/FAPECFT,Family oral history — Gabriel
POL-009,POL,Death-story narrative: Francisco reported as deceased to enable severance from Mexican political exposure — possible deliberate disinformation,Post-1936,ORANGE,4,Lead,CA death records; Baja CA civil registry; San Diego County records,7,3,triaged,CA vital records/Baja CA registry,TRADE pipe corroboration
POL-010,POL,FAPECFT search target: Terminel/Verminel in Callista correspondence files 1930–1936,1930–1936,ORANGE,6,Lead,FAPECFT catalog search,4,0,triaged,FAPECFT,UNAM-IIS referral
── PIPE: LAND ──,,,,,,,,,,,,
LAND-001,LAND,"Terminel family lost 453 ha in Bacobampo, Etchojoa — AGES expediente 411.123/2174, March 1938",March 1938,VERIFIED,9,Support,Met — UA peer-reviewed dissertation,1,0,verified,AGES/RAN,UA dissertation citing AGES
