TE360 ARCHIVE CONTACT DIRECTORY — PHYSICAL & MAIL REQUEST ARCHIVES,,,,,,
Archive / Institution,Physical Address,Phone,Email / Contact,Key Contact Person,Request Focus,Status
Huntington Library,"1151 Oxford Rd, San Marino CA 91108",(626) 405-2191,readingrooms@huntington.org,Reader Services,"Box 34: ""Investments in Mexico"" — WF Express silver ledgers 1880-1920",PENDING VISIT
Wells Fargo Historical Services,"420 Montgomery St, San Francisco CA 94104
MAC# N9305-173",(415) 396-4000,history@wellsfargo.com,Historical Services Dept,WF Express Sonora corridor 1900-1920; Hermosillo consignment silver shipments,PENDING EMAIL
AHES — Archivo Histórico Estado Sonora,"Garmendia 157 Sur, Hermosillo, Sonora",(662) 213-12-86,N/A,Dra. Aragón Salcido (Gen. Director),Mining concessions San Javier/Magdalena 1890-1910; Francisco Terminel records,PENDING MAIL
Archivo General de Notarías (Hermosillo),"Centro de Gobierno, Hermosillo, Sonora",(662) 217-0314,N/A,Dra. Aragón Salcido,Power-of-attorney (TSK-003); Francisco notarial register; concubinage arrangement,PENDING CONTACT
Pascua Yaqui Cultural Resources,"7474 S. Camino de Oeste, Tucson AZ 85757",—,NO EMAIL — MAIL ONLY,Cultural Resources Dept,Oral history; Bacobampo/San Javier Yaqui territorial connection; Plan de Justicia,PENDING MAIL
FAPECFT,Contact via website; Mexico City,—,contacto@fapecft.org.mx,Archive Director,Terminel + Verminel 1935-1940 political files; desafuero under Calles network,PENDING FORMAL REQUEST
INPI,"Av. México-Coyoacán 343, Benito Juárez, CDMX",(800) 838-4674,contacto@inpi.gob.mx,—,Bacobampo Plan de Justicia Yaqui restitution zone overlap; Aviana ethnic doc,PENDING EMAIL
RAN / AGES,"Ejido Land Registry, CDMX",—,reporte_rantel@ran.gob.mx,—,Bacobampo Exp. 411.123/2174; ejido land records; 1938 expropriation documentation,PENDING EMAIL
NARA (College Park),"8601 Adelphi Rd, College Park MD 20740",(301) 837-2000,inquire@nara.gov,Reference Staff,RG 84 Guaymas/Hermosillo consulate dispatches 1889-1920; silver export records,PENDING REQUEST
Bancroft Library (UC Berkeley),"University of California, Berkeley CA 94720",(510) 642-6481,bancref@library.berkeley.edu,Reference Librarian,Villa 122 silver bars April 1913; Sonora Revolution-era documents,PENDING EMAIL
University of Arizona Special Collections,"1510 E University Blvd, Tucson AZ 85721",(520) 621-6423,SPC@library.arizona.edu,—,Yaqui/Arizona borderland; Sonora business records 1880-1920,NOT STARTED
SDSU — Prof. Thomas Passananti,"5500 Campanile Dr, San Diego CA 92182",—,tpassananti@gmail.com,Prof. Thomas Passananti (Historian),Academic collaboration; Porfirian banking expert; Archivo Histórico Banamex contacts,URGENT — CONTACT THIS WEEK
SDSU — Prof. James Gerber,"5500 Campanile Dr, San Diego CA 92182",—,jgerber@mail.sdsu.edu,Prof. James Gerber (Economist),Co-author Gerber & Passananti 2015; Mexico-US economic history expert,URGENT — CONTACT THIS WEEK
Carmelita Terango (Family),—,—,—,Carmelita Terango (great-niece Leonor),Oral history; irreplaceable family testimony; audio record with consent,URGENT — CONTACT IMMEDIATELY
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
