"The provided data represents the TE360 Master Research Database & Intelligence Registry, a comprehensive collection of sources and tasks related to the ""Terminel-Sagasta Investigation"" updated as of May 2026.
Key Takeaways

• Extensive Research Infrastructure: The Master Registry contains over 75 unique data sources spanning diverse categories such as the Mexican National Archives (AGN), US National Archives (NARA), mining and geospatial databases, and specialized academic repositories.
• High Digital Accessibility: A significant majority of the sources (51) are categorized as FREE ONLINE, facilitating immediate research. However, 9 sources require MAIL REQUESTS and 4 require IN-PERSON visits, indicating a need for physical archival work.
• Thematic Research ""Pipes"": The investigation is organized into thematic ""Pipes"" such as GEO + MIN (Geology and Mining), POL (Politics), and LAND (Land titles and agrarian records), each mapped to specific high-priority databases.
• Active Investigation Queue: The project has an active Priority Action Queue with 20 tasks currently marked as ""NOT STARTED"". Examples of urgent tasks include:
  • Contacting Carmelita Terango for family oral history.
  • Emailing Thomas Passananti (SDSU) regarding academic collaboration.
  • Hashing private title deeds and letters for digital security.
  • Contacting the Huntington Library and Wells Fargo Historical Services for specific ledger and shipment records.


Data Source Distribution
The following charts visualize the accessibility and prioritization of the research sources within the Master Registry.

The Distribution of Data Sources by Access Type chart highlights that while most data is freely available online, a portion of the research relies on more traditional archival methods like mail and in-person visits.

The Data Sources by Priority Level chart shows that the majority of sources are classified as TIER 2 or TIER 3, with 19 critical TIER 1 sources forming the core of the investigation.",,,,,,,,
"Terminel-Sagasta Investigation  ·  TruthEngine360  ·  Updated May 20, 2026  ·  82 Registered Sources",,,,,,,,
Database / Archive,Category,Website / URL,Contact Email,Access Type,TE360 Priority,TE360 Pipes,Physical Address / Notes,Case Relevance
ProQuest Dissertations,Academic Theses,https://www.proquest.com/products-services/pqdtglobal.html,—,PAID · LIBRARY CARD,TIER 3,ALL,—,"Academic dissertations on Yaqui, Sonora, Porfiriato mining; check SDPL free access"
RAN,Agrarian / Ejido Records,https://www.gob.mx/ran,reporte_rantel@ran.gob.mx,PARTIAL OPEN,TIER 1,LAND · LEGAL,—,"Bacobampo land records Exp. 411.123/2174; Plan de Justicia Yaqui 2,900-ha restitution zone overlap"
SIAP Mexico,Agricultural Mapping,https://www.gob.mx/siap,—,FREE ONLINE,TIER 3,LAND · GEO,—,Sonora agricultural zones; ejido boundaries; irrigation districts
Semantic Scholar,AI-Enhanced Research,https://www.semanticscholar.org,—,FREE ONLINE,TIER 3,AUDIT,—,AI-powered paper discovery; semantic search across scholarly corpus
INAH Mediateca,Archaeological / Historical Media,https://mediateca.inah.gob.mx,mediateca@inah.gob.mx,FREE ONLINE,TIER 3,IND · GEO,—,Archaeological records; indigenous territory documentation
Western Union Telegraph Company Records (Smithsonian),Archive,https://siarchives.si.edu/,N/A,Physical,High,TBD,Smithsonian Institution,US-Mexico telegram records
Archivo Porfirio Díaz (Universidad Iberoamericana),Archive,https://biblio.ibero.mx/,N/A,Physical/Online,High,TBD,Mexico City,Presidential records 1880-1911
Archivo General de la Nación (AGN) - Presidentes,Archive,https://www.gob.mx/agn,N/A,Physical,High,TBD,Mexico City,Presidential records 1880-1940
Centro de Estudios de Historia de México (CEHM Carso),Archive,https://cehm.org.mx/,N/A,Physical/Online,High,TBD,Mexico City,Mexican Revolution records
Arizona Memory Project,AZ Historical Digital Archive,https://azarchivesonline.org,info@azarchivesonline.org,FREE ONLINE,TIER 2,IND · POL · TRADE,—,Arizona-Sonora borderland newspapers; WF Express; Yaqui refugee records in Arizona Territory
Cornell Historical Banking Collections,Banking History,https://library.cornell.edu,library@cornell.edu,FREE ONLINE,TIER 3,TRADE · AUDIT,—,Historical banking texts including McCaleb (1920) digitized materials
CNBV Datos Abiertos,Banking Regulation,https://www.cnbv.gob.mx,cnbv@cnbv.gob.mx,FREE ONLINE,TIER 3,TRADE · AUDIT,—,Banking regulatory history; Porfirian bank structure
Mexican Catholic Parish Archives,Baptism/marriage/death,https://www.familysearch.org/search/catalog,,,,,,
NARA Immigration Records,Border crossing,https://www.archives.gov/research/immigration,,,,,,
CBP Stats,Border Statistics,https://www.cbp.gov/newsroom/stats,cbpinfocenter@cbp.dhs.gov,FREE ONLINE,BACKGROUND,GEN · LAND,—,Modern border statistics; limited historical
Texas State Historical Association,Borderland archives,https://www.tshaonline.org/,,,,,,
University of Arizona Special Collections,Borderlands Archive,https://speccoll.library.arizona.edu,SPC@library.arizona.edu,IN-PERSON · FREE,TIER 2,IND · LAND · TRADE,"1510 E University Blvd, Tucson AZ 85721",Yaqui/Arizona borderland; Sonora business records; WF Express routes through Nogales
FINRA API Center,Broker/dealer data,https://developer.finra.org/,,,,,,
Baker Library - Business Manuscripts,Business Manuscripts,https://www.library.hbs.edu,—,IN-PERSON / FREE ONLINE,TIER 2,TRADE,—,"R.G. Dun & Co. Credit Report Volumes, 19th-century business records."
FAPECFT,Calles-Torreblanca Archive,https://www.fapecft.org.mx,—,MAIL REQUEST,TIER 2,POL · AUDIT,"Calle Plutarco Elías Calles, CDMX",Francisco Terminel + Verminel 1935-1940 political correspondence; desafuero context under Calles patronage network
U.S. Census Bureau API,Census / demographics,https://www.census.gov/data/developers/data-sets.html,,API,,,,
Colegio de México Repositorio,ColMex Repository,https://repositorio.colmex.mx,repositorio@colmex.mx,FREE ONLINE,TIER 2,POL · IND · TRADE,—,Mexico City historical/social research; Porfiriato political economy
CFPB Consumer Complaint DB,Consumer financial data,https://www.consumerfinance.gov/data-research/consumer-complaints/,,,,,,
Wells Fargo Historical Services,Corporate Archive,https://www.wellsfargohistory.com,history@wellsfargo.com,MAIL REQUEST,TIER 1,WF · TRADE,"420 Montgomery St, San Francisco CA 94104 · MAC# N9305-173",WF Express Sonora corridor 1900-1920; silver consignment records; Hermosillo originating shipments
The National Archives (UK) - Companies,Corporate Archives,https://www.nationalarchives.gov.uk,—,FREE ONLINE / IN-PERSON,TIER 2,TRADE · LEGAL,—,"Records of dissolved companies, stock exchange official year-book."
SEC EDGAR,Corporate Filings,https://www.sec.gov/edgar/search,webmaster@sec.gov,FREE ONLINE,TIER 3,WF · TRADE,—,Wells Fargo corporate history; predecessor entities
Registro Público de Comercio,Corporate registry,,,Partial,,,,
scielo.org.mx,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000100002,gtarce@usc.edu,Physical,High,TBD,Mexico City,Mexican Revolution military records
pmc.ncbi.nlm.nih.gov,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://pmc.ncbi.nlm.nih.gov/articles/PMC5362358,gtarce@usc.edu,,,,,
findagrave.com,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://findagrave.com/cemetery/2740823/pante%C3%B3n-municipal,gtarce@usc.edu,,,,,
familysearch.org,"Death certificates, birth records, church records in Sonora 1840 to 1940","https://familysearch.org/es/wiki/San_Javier,_Centro_Costa,_Sonora,_M%C3%A9xico_-_Genealog%C3%ADa",gtarce@usc.edu,,,,,
economia.gob.mx,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://economia.gob.mx/datamexico/es/profile/geo/san-javier,gtarce@usc.edu,,,,,
sonora96.webnode.es,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://sonora96.webnode.es/news/san-javier,gtarce@usc.edu,,,,,
inegi.org.mx,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://inegi.org.mx/app/areasgeograficas/?ag=26054#collapse-Resumen,gtarce@usc.edu,,,,,
mindat.org,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://mindat.org/loc-31530.html,gtarce@usc.edu,,,,,
banxico.org.mx,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://banxico.org.mx/getting-to-know-banco-de-mexico/history-hierarchical-history-.html,gtarce@usc.edu,,,,,
albavoice.org,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://albavoice.org/,gtarce@usc.edu,,,,,
acrobat.adobe.com,"Death certificates, birth records, church records in Sonora 1840 to 1940",[suspicious link removed],gtarce@usc.edu,,,,,
state.gov,"Death certificates, birth records, church records in Sonora 1840 to 1940",[suspicious link removed],gtarce@usc.edu,,,,,
journals.openedition.org,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://journals.openedition.org/erea/15008,gtarce@usc.edu,,,,,
oas.org,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://oas.org/en/iachr/decisions/2015/mxad79-06en.pdf,gtarce@usc.edu,,,,,
fronteranorte.colef.mx,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://fronteranorte.colef.mx/index.php/fronteranorte/article/view/2314/2131,gtarce@usc.edu,,,,,
indigenousmexico.org,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://indigenousmexico.org/articles/category/Sonora,gtarce@usc.edu,,,,,
congress.gov,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://congress.gov/88/crecb/1964/09/22/GPO-CRECB-1964-pt17-11-2.pdf,gtarce@usc.edu,,,,,
culturalsurvival.org,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://culturalsurvival.org/sites/default/files/EPU_Mexico_FINAL.pdf,gtarce@usc.edu,,,,,
pascuayaqui-nsn.gov,"Death certificates, birth records, church records in Sonora 1840 to 1940",https://pascuayaqui-nsn.gov/wp-content/uploads/2021/09/CHNA_Final_Report_4-28-21-For_Website.pdf,gtarce@usc.edu,,,,,
DTIC,Defense Research,https://discover.dtic.mil,dtic.belvoir.us.mbx.reference@mail.mil,FREE ONLINE,BACKGROUND,POL,—,Pentagon research; limited direct relevance
Homeland Security Data Framework,DHS datasets,https://www.dhs.gov/data-statistics,,,,,,
Repositorio Institucional de la UNAM,Digital Repository,https://repositorio.unam.mx/,repositorio@unam.mx,FREE ONLINE,TIER 2,POL · LEGAL · IND,"Planta baja del módulo C del Instituto de Biología, 3er. Circuito exterior s/n, Ciudad Universitaria, Coyoacán, Ciudad de México, México.","Academic theses, history"
Memórica México,Digitized Historical Collections,https://memoricamexico.gob.mx,—,FREE ONLINE,TIER 3,IND · GEN,—,Digitized Mexican historical collections; INAH affiliate
HathiTrust,Digitized Rare Books,https://www.hathitrust.org,info@hathitrust.org,FREE ONLINE,TIER 2,TRADE · POL · IND,—,Rare digitized regime-era texts; public domain Porfiriato scholarship
U.S. State Department Office of the Historian,Diplomatic correspondence,https://history.state.gov/historicaldocuments,,,,,,
United Data Connect,DNA / Familial Searching,https://www.uniteddataconnect.com,—,PAID / RESTRICTED,TIER 2,GEN · LEGAL,—,Familial DNA searches and investigative genetic genealogy.
Parabon Snapshot,DNA / Familial Searching,https://snapshot.parabon-nanolabs.com/genealogy,—,PAID / RESTRICTED,TIER 2,GEN · LEGAL,—,"Genetic genealogy, autosomal DNA SNPs, forensic investigations."
FamilyTreeDNA,DNA / Familial Searching,https://www.familytreedna.com/,—,FREE ONLINE / PAID,TIER 2,GEN,—,"Autosomal, mtDNA, and Y-DNA databases."
Crossref,DOI Metadata,https://www.crossref.org,support@crossref.org,FREE API,TIER 3,AUDIT,—,DOI resolution; verify publication authenticity; citation chain
Selective Service Data,Draft records,,,,,,,
FRED,Economic / Financial Data,https://fred.stlouisfed.org,fred@stls.frb.org,FREE API,TIER 2,TRADE · AUDIT,—,Historical silver prices; peso/dollar exchange rates 1890-1940; monetary data
NBER - Merger Movements,Economic History,https://www.nber.org,—,FREE ONLINE,TIER 2,TRADE · AUDIT,—,"Historical merger waves, 1895-1904 consolidation."
ERIC,Education Research,https://eric.ed.gov,—,FREE ONLINE,BACKGROUND,GEN,—,Education research database; limited direct relevance
INE (Instituto Nacional Electoral),Electoral/public datasets,,,Open,,,,
National Archives Diplomatic Records,Embassy/consular reports,https://www.archives.gov/research/foreign-policy,,,,,,
NOAA Climate Data,Environmental history,,,,,,,
USAspending.gov,Federal contracts/grants,https://www.usaspending.gov/,,API,,,,
NASDAQ Data Link,Financial datasets,https://data.nasdaq.com/,,,,,,
Buró de Entidades Financieras,Financial institution records,https://www.buro.gob.mx/,,,,,,
NARA RG 84,Foreign Service Posts (Consular),https://catalog.archives.gov,inquire@nara.gov,MAIL REQUEST,TIER 1,WF · TRADE · MIN · POL,"National Archives II, 8601 Adelphi Rd, College Park MD 20740",Guaymas/Hermosillo/Nogales consulate dispatches 1889-1920; silver export documentation
Bode Technology,Forensic Genealogy,https://bodetech.com,—,PAID / RESTRICTED,TIER 2,GEN · LEGAL,—,Forensic Investigative Genetic Genealogy (FIGG).
FamilySearch,Genealogy / Parish Records,https://www.familysearch.org,support@familysearch.org,FREE ONLINE,TIER 1,GEN · IND,—,"Collection 704681: Sonora Catholic baptisms 1657-1950. Search Sagasta, Terminel, Verminel. Indigenous notation in records. FREE with account"
FamilySearch,Genealogy / Parish Records,https://www.familysearch.org,support@familysearch.org,FREE ONLINE,TIER 1,GEN,Collection 704679 and 704681,Records on Aviana Sagasta.
Google Scholar,General scholarship,https://scholar.google.com/,,,,,,
ArcGIS Open Data,GIS datasets,https://hub.arcgis.com/search,,,,,,
WorldCat,Global Library Catalog,https://www.worldcat.org,support@oclc.org,FREE ONLINE,TIER 2,AUDIT,—,Locate rare dissertations; find which libraries hold key texts
CIA FOIA Reading Room,Government FOIA,https://www.cia.gov/readingroom/,—,FREE ONLINE,TIER 2,POL · GEN,—,RAND Corporation research and intelligence access.
