TE360 PRIORITY ACTION QUEUE — NEXT STEPS BY URGENCY,,,,,
Priority,Action,Target / Resource,Cost,TE360 Pipe,Status
🔴 URGENT,Contact Carmelita Terango — audio record with consent,Family oral history (irreplaceable),$0,GEN · IND,NOT STARTED
🔴 URGENT,Email Thomas Passananti (SDSU) re: academic collaboration,tpassananti@gmail.com,$0,ALL PIPES,NOT STARTED
🔴 URGENT,SHA-256 hash private title deeds + Francisco letter (TSK-006),Local computer,$0,AUDIT,NOT STARTED
🟠 THIS WEEK,FamilySearch browse collection 704681 — Sonora baptisms 1880-1915,familysearch.org · Free account,$0,GEN · IND,NOT STARTED
🟠 THIS WEEK,Email WF Historical Services — request Sonora corridor records,history@wellsfargo.com,$0,WF,NOT STARTED
🟠 THIS WEEK,Search FRUS (history.state.gov) — Hermosillo/Sonora 1895-1912,history.state.gov · FREE,$0,WF · POL · TRADE,NOT STARTED
🟠 THIS WEEK,Search Redalyc — Porfiriato + Sonora + minería plata,redalyc.org · FREE,$0,POL · MIN · TRADE,NOT STARTED
🟠 THIS WEEK,Search Arizona Memory Project — Wells Fargo + Sonora border press,azarchivesonline.org · FREE,$0,WF · TRADE,NOT STARTED
🟠 THIS WEEK,Search HNDM — Terminel + Verminel (both spellings) 1890-1940,hndm.iib.unam.mx · FREE,$0,POL · AUDIT,NOT STARTED
🟡 THIS MONTH,Book Huntington Library appointment — Box 34,(626) 405-2191 · FREE on-site,$0 + gas,WF · TRADE,NOT STARTED
🟡 THIS MONTH,Mail AHES Hermosillo — Dra. Aragón Salcido mining concession request,"Garmendia 157 Sur, Hermosillo",Postage,MIN · LAND · LEGAL,NOT STARTED
🟡 THIS MONTH,Mail Pascua Yaqui Cultural Resources — Bacobampo inquiry,"7474 S. Camino de Oeste, Tucson AZ",Postage,IND · LAND,NOT STARTED
🟡 THIS MONTH,Email AGES/RAN — Bacobampo Exp. 411.123/2174,reporte_rantel@ran.gob.mx,$0,LAND · LEGAL,NOT STARTED
🟡 THIS MONTH,Request NARA RG 84 Guaymas consulate dispatches microfilm,inquire@nara.gov · NARA II College Park,Research fee,WF · TRADE · POL,NOT STARTED
🟡 THIS MONTH,Search CA death records 1954-56 for Leonor/Leonardo Terminel (I-5),Ancestry.com or CA Vital Records,$20-40,GEN,NOT STARTED
🟢 QUARTER,Submit Bancroft Library request — Villa 122 silver bars April 1913,bancref@library.berkeley.edu,$0,TRADE · MIN,NOT STARTED
🟢 QUARTER,Search FAPECFT — Terminel + Verminel 1935-1940 political files,contacto@fapecft.org.mx,$0,POL · AUDIT,NOT STARTED
🟢 QUARTER,Contact INPI — Bacobampo/Plan de Justicia Yaqui restitution overlap,inpi.gob.mx,$0,IND · LAND · LEGAL,NOT STARTED
🟢 QUARTER,Get historical silver price data 1890-1940 (FRED + LBMA + Banxico),fred.stlouisfed.org · FREE API,$0,TRADE · AUDIT,NOT STARTED
🟢 QUARTER,Email Prof. James Gerber (SDSU) — Archivo Histórico Banamex contacts,jgerber@mail.sdsu.edu,$0,TRADE · POL,NOT STARTED
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
