,,,,,,,,,
,Nine Pipes Reference Card — TE360 Terminel-Sagasta Investigation,,,,,,,,
,Code,Pipe,Description,Claims,Status Summary,Key Archives,Key Verified / Plausible Facts,Immediate Action,
,P1,GEO+MIN,San Javier geography & mining district,6,Complete — all GREEN,None,SGM 2006; INEGI 260541; Porchas concession; ore grades,None — complete,
,P2,POL,Political collapse 1935–1936,10,3 VERIFIED + 7 ORANGE,FAPECFT + HNDM + AGN,Desafuero Dec 14 1935; Calles exile Apr 9 1936; Verminel variant,Search FAPECFT for Terminel/Verminel + HNDM newspapers,
,P3,LAND,Land & property dispossession,9,2 VERIFIED + 7 ORANGE,TSK-005 + TSK-006 + AHES,453 ha Bacobampo 1938 (UA verified); Bácum/Mayo Valley,SHA-256 hash deeds TODAY; AGES request; AHES Libro 45/92,
,P4,IND+DNA,Indigenous identity & DNA,8,6 VERIFIED + 2 ORANGE,FamilySearch 704679/704681 + AGN,Névome Pima Bajo 50-65%; INEGI correction; B2 haplogroup,Browse FamilySearch 704679 + 704681 TODAY,
,P5,GEN+FAM,Genealogical chain,7,0 VERIFIED + 7 ORANGE,FamilySearch + CA records + Ancestry,Nela born San Javier ~1910; Porchas graves confirmed on site,FamilySearch browse; CA passenger manifests; open death question,
,P6,WF,Wells Fargo Express operations,15,7 VERIFIED + 6 ORANGE + 2 RED,TSK-004 + Bancroft TSK-003,WF Express Mexico 1890–1964; Guaymas office 1890; bullion receipts,Mail WF Historical Services letter; Bancroft Library inquiry,
,P7,TRADE,Tradecraft & cover narratives,5,0 VERIFIED + 5 ORANGE,CA vital records + family documentation,Death-story; gambling cover; dual-family; SD border proximity,CA death records; Baja CA registry; document oral history,
,P8,LEGAL,Legal frameworks,6,5 VERIFIED + 1 ORANGE,AHES LAND-005 then Art. 2163 analysis,UNDRIP; ILO 169; IACHR; Calvo Clause; BSA absence,Confirm Libro 92 Folio 37; Art. 2163 fraudulent conveyance analysis,
,P9,AUDIT+INST,Source integrity & audit,9,4 VERIFIED + 2 ORANGE + 3 RED,Quarantine register (no new research needed for RED),28/100 audit score; WF confabulations quarantined; Cow Principle,Maintain quarantine register; pursue AHES Padrón for Cow Principle,
